day,hour,temp,wd,ws,prec1h,frsn1h,vis
28,0,-6.0,229,0.8,0.0,0.0,61.8
28,1,-5.9,246,1.6,0.0,0.0,58.7
28,2,-6.0,176,1.0,0.0,0.0,61.6
28,3,-5.9,164,1.5,0.0,0.0,59.3
28,4,-5.4,144,1.8,0.0,0.0,51.5
28,5,-4.8,116,2.1,0.0,0.0,52.0
28,6,-4.0,133,1.7,0.0,0.0,48.9
28,7,-3.1,139,2.3,0.0,0.0,41.6
28,8,-1.7,126,3.3,0.3,0.4,2.9
28,9,-1.2,126,4.7,0.5,0.6,14.2
28,10,-0.2,129,6.3,0.2,0.0,2.8
28,11,0.4,132,6.3,0.3,0.3,4.2
28,12,0.9,134,4.8,0.0,0.0,3.4
28,13,1.4,147,4.7,0.0,0.0,12.9
28,14,1.8,167,3.9,0.1,0.0,2.6
28,15,2.1,159,3.3,0.6,0.0,6.2
28,16,1.9,165,5.0,1.4,0.0,22.3
28,17,2.0,176,3.5,0.3,0.0,4.6
28,18,2.0,205,2.5,0.7,0.0,12.6
28,19,2.4,258,3.7,0.2,0.0,16.3
28,20,2.4,258,3.7,0.2,0.0,16.3
28,21,2.4,258,3.7,0.2,0.0,16.3
28,22,0.8,270,3.4,0.0,0.0,24.0
28,23,1.1,257,3.3,0.0,0.0,5.5
