free_flow_speed,confidence,weekend,day,hour,current_speed
36,1.0,False,29,0,36
36,1.0,False,29,1,36
36,1.0,False,29,2,36
36,1.0,False,29,3,36
36,1.0,False,29,4,36
36,1.0,False,29,5,36
36,1.0,False,29,6,36
36,0.99,False,29,7,25
36,0.991387,False,29,8,27
36,0.9946,False,29,9,25
35,0.974161,False,29,10,27
36,0.989199,False,29,11,26
36,0.96,False,29,12,26
35,0.997404,False,29,13,23
36,1.0,False,29,14,28
35,1.0,False,29,15,23
36,0.994809,False,29,16,25
35,0.994809,False,29,17,27
35,0.99,False,29,18,27
36,0.989617,False,29,19,28
36,1.0,False,29,20,36
36,1.0,False,29,21,36
36,1.0,False,29,22,36
36,1.0,False,29,23,36
